"","K","eta_hunt","eta_nat","theta","gamma","alpha_max","ksi","omega","s","beta","p1","p2_q1","p2_q2","p2_q3","p2_q4","phi","sigma1_mean","sigma1_rate","start_q","S_0","E1_0","SuperS_0","SuperE1_0","I_0","SuperI_0"
"158",265,0.399291,0.029974,4.932528,0.052001,0.94987,0.207757,9.55172,73.506168,0.064667,1,0,0,0,0,17.923595,50.814942,4.274334,1,206,6,53,0,0,0
"159",379,0.714962,0.035889,2.845055,0.044432,1.059969,0.461171,10.456343,73.083662,0.046726,1,0,0,0,0,18.164954,16.45668,5.825521,1,200,8,171,0,0,0
"160",178,0.742601,0.018574,16.847229,0.055048,1.020469,0.087435,11.074938,62.616925,0.182106,1,0,0,0,0,30.750875,39.429152,3.746473,1,159,4,15,0,0,0
"161",339,0.89817,0.037632,2.253309,0.08282,0.916953,0.060213,10.94103,65.752791,0.19036,1,0,0,0,0,49.630735,221.595701,5.273292,1,313,7,19,0,0,0
"162",311,0.390302,0.002373,3.953803,0.06404,0.94238,0.45985,10.654234,71.03562,0.236542,1,0,0,0,0,2.54402,18.241718,1.883488,1,165,7,139,0,0,0
"163",192,0.91632,0.018463,15.967405,0.009816,1.092313,0.965704,11.222528,71.021421,0.19857,1,0,0,0,0,24.287732,444.698843,3.100587,1,7,4,181,0,0,0
"164",781,0.14286,0.007572,6.715969,0.059234,1.075821,0.174915,10.381297,69.815872,0.114035,1,0,0,0,0,15.597857,501.5237,2.646485,1,632,16,133,0,0,0
"165",734,0.34594,0.035237,0.5289,0.053662,0.997604,0.078118,9.881551,61.768808,0.234004,1,0,0,0,0,30.363282,448.810846,2.786138,1,663,15,56,0,0,0
"166",993,0.904055,0.004354,8.865684,0.019859,0.986221,0.058218,9.611063,66.704625,0.193467,1,0,0,0,0,10.614821,43.774849,5.950898,1,917,20,56,0,0,0
"167",794,0.308242,0.013778,11.985965,0.07569,1.013954,0.256142,10.292459,70.85929,0.039858,1,0,0,0,0,36.95223,6.277831,5.750549,1,579,16,199,0,0,0
"168",200,0.211199,0.007225,5.267024,0.03789,1.034891,0.214312,11.000057,72.322064,0.199905,1,0,0,0,0,49.317505,504.230541,1.549467,1,154,4,42,0,0,0
"169",709,0.189575,0.04072,1.470782,0.077132,1.009714,0.450468,11.103511,72.345858,0.207053,1,0,0,0,0,13.232801,265.044158,4.436427,1,382,15,312,0,0,0
"170",263,0.503145,0.026555,4.248271,0.04573,1.022742,0.971383,11.068332,74.529527,0.063227,1,0,0,0,0,4.259869,514.158439,4.73341,1,8,6,249,0,0,0
"171",64,0.185279,0.036538,2.528632,0.044019,1.032328,0.382026,11.09462,71.391137,0.112178,1,0,0,0,0,27.444254,323.321467,5.206515,1,39,2,23,0,0,0
"172",887,0.968658,0.01576,0.598698,0.036572,0.9588,0.636076,11.181986,73.168651,0.167718,1,0,0,0,0,49.594174,538.089046,4.222846,1,317,18,552,0,0,0
"173",297,0.532901,0.034377,14.07672,0.001743,0.956268,0.224956,11.296761,62.124558,0.069862,1,0,0,0,0,18.646846,332.318339,4.278022,1,226,6,65,0,0,0
"174",658,0.748618,0.037157,19.586564,0.059036,1.065105,0.093768,10.411636,62.312681,0.197987,1,0,0,0,0,41.024671,530.679272,5.818062,1,584,14,60,0,0,0
"175",334,0.282034,0.028814,7.9628,0.083132,1.003477,0.175487,11.309468,72.58191,0.079024,1,0,0,0,0,48.401665,207.532159,5.0212,1,270,7,57,0,0,0
"176",655,0.033889,0.005207,7.162518,0.069894,0.951973,0.35439,9.493116,67.728328,0.226391,1,0,0,0,0,7.620872,567.492021,2.271133,1,414,14,227,0,0,0
"177",687,0.511288,0.031869,17.760825,0.077726,1.075472,0.37009,9.683672,65.467622,0.12294,1,0,0,0,0,34.562989,223.113599,4.767676,1,424,14,249,0,0,0
"178",122,0.055283,0.041485,7.196629,0.039869,1.032657,0.110753,10.771122,63.191679,8e-06,1,0,0,0,0,14.300795,170.570461,4.6866,1,106,3,13,0,0,0
"179",432,0.072294,0.00313,8.924345,0.014437,0.952769,0.894151,10.604566,72.600456,0.093132,1,0,0,0,0,5.35955,575.58838,4.939361,1,45,9,378,0,0,0
"180",200,0.602021,0.041336,7.455693,0.007238,1.001408,0.215703,9.457248,70.321739,0.035133,1,0,0,0,0,34.682409,428.748216,4.655981,1,154,4,42,0,0,0
"181",795,0.528265,0.015856,1.048919,0.008443,1.089462,0.536059,10.215611,74.104734,0.216162,1,0,0,0,0,8.786024,145.852531,3.223397,1,362,16,417,0,0,0
"182",360,0.213086,0.000906,1.856047,0.002974,1.085451,0.665086,9.512946,74.018248,0.17935,1,0,0,0,0,25.100968,331.42297,5.023571,1,118,8,234,0,0,0
"183",888,0.224232,0.020971,18.790557,0.010767,1.095905,0.612978,9.275434,70.362975,0.010744,1,0,0,0,0,1.095315,544.35083,3.578021,1,337,18,533,0,0,0
"184",418,0.516689,0.040509,12.837877,0.018228,0.978784,0.568971,10.681842,68.305626,0.040188,1,0,0,0,0,44.257861,362.334141,1.591407,1,177,9,232,0,0,0
"185",730,0.691552,0.038322,19.787879,0.061257,0.970646,0.191066,10.152841,63.069415,0.009275,1,0,0,0,0,43.117045,396.388583,0.605908,1,579,15,136,0,0,0
"186",996,0.972467,0.039528,8.272666,0.024894,1.031601,0.599079,10.708245,62.433644,0.05196,1,0,0,0,0,46.562871,198.688267,1.390769,1,392,20,584,0,0,0
"187",322,0.537521,0.03286,3.564458,0.069831,1.039825,0.064821,11.040632,70.704512,0.234877,1,0,0,0,0,26.886587,593.757447,3.4948,1,295,7,20,0,0,0
"188",384,0.078531,0.029932,9.530382,0.077007,0.988863,0.479824,9.808356,71.097028,0.015238,1,0,0,0,0,33.20826,532.736784,4.920523,1,196,8,180,0,0,0
"189",619,0.571846,0.02646,15.875428,0.082522,1.005961,0.383271,11.314752,64.379922,0.100848,1,0,0,0,0,6.409598,330.506563,2.977599,1,374,13,232,0,0,0
"190",85,0.425655,0.006987,5.914047,0.005334,0.964369,0.3117,10.678107,62.859167,0.216984,1,0,0,0,0,7.254518,338.657727,5.050299,1,58,2,25,0,0,0
"191",894,0.070925,0.031665,1.677015,0.034218,1.082511,0.084856,11.305584,68.43737,0.242178,1,0,0,0,0,17.023814,174.268829,0.029585,1,802,18,74,0,0,0
"192",651,0.722331,0.041439,12.591718,0.032055,0.943012,0.063661,10.88385,68.561888,0.151817,1,0,0,0,0,28.024751,10.868653,5.701439,1,597,14,40,0,0,0
"193",300,0.551205,0.015358,15.015179,0.011982,1.056173,0.656783,10.401043,68.282683,0.110594,1,0,0,0,0,29.614382,179.297598,4.308787,1,101,6,193,0,0,0
"194",933,0.1826,0.033868,3.630944,0.06024,1.01477,0.279761,10.713408,61.397194,0.013003,1,0,0,0,0,33.808563,147.391046,0.352427,1,659,19,255,0,0,0
"195",188,0.11657,0.020544,8.618326,0.06968,0.936582,0.380592,11.226257,72.452791,0.070182,1,0,0,0,0,32.4535,256.967605,0.406208,1,114,4,70,0,0,0
"196",306,0.696892,0.008833,14.267276,0.077588,1.076787,0.328576,10.944228,73.39141,0.180121,1,0,0,0,0,32.911896,552.56707,0.585416,1,201,7,98,0,0,0
"197",53,0.235114,0.025482,19.509332,0.028969,1.072082,0.27579,11.290547,62.891239,0.127565,1,0,0,0,0,31.500656,70.772999,3.090358,1,37,2,14,0,0,0
"198",185,0.856851,0.031115,14.422729,0.065487,1.006622,0.188982,10.875322,69.724433,0.066909,1,0,0,0,0,20.539226,23.96912,1.850517,1,147,4,34,0,0,0
"199",140,0.447808,0.039686,0.729042,0.066015,0.994248,0.121733,10.968385,62.185908,0.072274,1,0,0,0,0,43.487468,229.66466,5.214016,1,121,3,16,0,0,0
"200",83,0.992623,0.036615,19.75298,0.060954,1.07976,0.120618,9.499836,68.041417,0.228954,1,0,0,0,0,36.545271,493.015199,0.37237,1,72,2,9,0,0,0
"201",167,0.559711,0.011702,17.068692,0.023668,1.036496,0.831064,9.599233,73.651831,0.040341,1,0,0,0,0,2.23851,169.918415,2.314917,1,28,4,135,0,0,0
"202",827,0.046475,0.03146,10.0506,0.003469,1.095721,0.900357,11.245919,61.812065,0.082693,1,0,0,0,0,48.832523,502.503612,0.035768,1,81,17,729,0,0,0
"203",68,0.62608,0.033347,9.140548,0.074834,1.067496,0.102789,10.43338,66.678338,0.110102,1,0,0,0,0,35.172231,28.167557,3.67254,1,60,2,6,0,0,0
"204",74,0.261272,0.039436,3.60211,0.068712,1.052294,0.196625,10.384052,64.622632,0.064215,1,0,0,0,0,23.915719,154.538816,4.000316,1,58,2,14,0,0,0
"205",271,0.247098,0.023904,14.381237,0.068318,0.902254,0.598944,10.970631,73.621528,0.036831,1,0,0,0,0,42.97127,438.079859,1.840607,1,107,6,158,0,0,0
"206",212,0.381717,0.003983,15.467858,0.067747,1.057921,0.944146,11.228876,73.048188,0.014348,1,0,0,0,0,49.134953,376.204387,4.303767,1,12,5,195,0,0,0
"207",276,0.423281,0.037313,4.001131,0.073019,0.951055,0.020556,9.410338,70.5489,0.047297,1,0,0,0,0,48.038303,391.186364,3.304715,1,265,6,5,0,0,0
"209",289,0.008844,0.037185,1.774422,0.049134,1.062648,0.158249,10.354176,66.525005,0.113896,1,0,0,0,0,47.4821,84.916444,1.826464,1,239,6,44,0,0,0
"210",291,0.586644,0.020257,2.154267,0.057588,0.908797,0.005907,10.607627,63.423187,0.059319,1,0,0,0,0,39.906882,374.861283,4.420117,1,284,6,1,0,0,0
"211",967,0.711663,0.009299,8.722365,0.006914,1.083757,0.056271,10.979957,61.672484,0.024148,1,0,0,0,0,39.28134,508.195356,5.3216,1,894,20,53,0,0,0
"212",753,0.22127,0.036295,17.918741,0.029208,0.95051,0.294941,11.199251,71.952836,0.015476,1,0,0,0,0,41.851622,365.213445,4.901633,1,520,16,217,0,0,0
"213",558,0.275306,0.035036,1.965083,0.080253,0.903666,0.690759,10.931962,70.424082,0.248291,1,0,0,0,0,3.959166,117.975685,3.70546,1,169,12,377,0,0,0
"214",88,0.04987,0.039079,19.449799,0.018324,0.926881,0.623799,10.336163,64.015779,0.203661,1,0,0,0,0,9.641987,104.377409,2.6361,1,33,2,53,0,0,0
"215",92,0.798838,0.002595,0.34236,0.053821,1.08578,0.01799,9.287155,62.718266,0.247882,1,0,0,0,0,37.942438,232.259136,3.57515,1,89,2,1,0,0,0
"216",244,0.33515,0.028634,2.22689,0.064591,1.048588,0.351772,9.890206,73.810306,0.033124,1,0,0,0,0,40.259621,199.732375,1.25768,1,155,5,84,0,0,0
"217",237,0.671825,0.028512,9.850396,0.004046,1.094895,0.088867,11.142603,66.172096,0.000501,1,0,0,0,0,42.811535,136.953265,5.80779,1,212,5,20,0,0,0
"218",260,0.836276,0.029803,15.129159,0.083283,1.054884,0.003847,9.312973,72.425277,0.008908,1,0,0,0,0,36.004048,25.237735,4.795898,1,254,6,0,0,0,0
"219",205,0.048559,0.041179,14.509882,0.01428,1.075376,0.071211,11.151007,61.735007,0.097076,1,0,0,0,0,11.362936,208.698197,5.313202,1,186,5,14,0,0,0
"220",454,0.729054,0.028717,18.282417,0.058785,0.952217,0.531503,10.128133,70.708107,0.116737,1,0,0,0,0,19.70718,73.330981,4.440914,1,209,10,235,0,0,0
"221",109,0.322458,0.03409,16.364817,0.075639,0.911645,0.76579,10.918468,72.952029,0.06142,1,0,0,0,0,47.692751,534.664746,0.588747,1,25,3,81,0,0,0
"222",154,0.392167,0.014499,19.801685,0.071403,1.08479,0.804501,10.76069,73.465908,0.085801,1,0,0,0,0,39.504154,370.720736,4.990746,1,30,4,120,0,0,0
"223",653,0.599838,0.014367,6.784326,0.012803,0.921846,0.713295,10.696658,62.348042,0.021842,1,0,0,0,0,4.21199,462.841008,4.036872,1,184,14,455,0,0,0
"224",77,0.051099,0.004759,5.132698,0.028457,0.963203,0.301609,10.10524,73.615842,0.200805,1,0,0,0,0,37.567331,153.857535,5.290196,1,53,2,22,0,0,0
"225",406,0.607242,0.015437,0.847409,0.026789,1.026811,0.982038,10.505006,61.634549,0.197356,1,0,0,0,0,5.750011,539.741471,4.515849,1,8,9,389,0,0,0
"226",867,0.403481,0.026447,14.326209,0.010425,0.917445,0.21043,10.789841,74.55342,0.031453,1,0,0,0,0,31.35259,392.924563,3.686925,1,671,18,178,0,0,0
"227",247,0.063021,0.019674,3.53151,0.008583,0.930676,0.958879,9.887713,71.6276,0.035894,1,0,0,0,0,32.548319,421.38819,4.333009,1,10,5,232,0,0,0
"228",132,0.202906,0.006762,6.978407,0.061483,1.054794,0.249896,10.579858,63.281363,0.111729,1,0,0,0,0,37.956152,379.538509,4.849595,1,97,3,32,0,0,0
"229",374,0.193579,0.001581,7.482718,0.054822,1.029532,0.826415,10.986316,74.282789,0.04543,1,0,0,0,0,14.288608,484.961102,3.354195,1,64,8,302,0,0,0
"230",232,0.726227,0.016491,10.588453,0.073858,1.077938,0.274049,9.540536,74.462378,0.03804,1,0,0,0,0,21.584485,65.021683,5.552743,1,165,5,62,0,0,0
"231",245,0.286929,0.03303,17.484914,0.068433,1.07615,0.234272,11.072598,62.297612,0.095708,1,0,0,0,0,6.715266,558.289336,3.26595,1,184,5,56,0,0,0
"232",676,0.414947,0.039816,8.571893,0.069582,1.013384,0.391489,10.52366,67.058786,0.17675,1,0,0,0,0,41.657744,472.423405,5.476436,1,403,14,259,0,0,0
"233",716,0.751401,0.031361,10.433327,0.060842,0.99204,0.812393,10.254887,67.764491,0.203053,1,0,0,0,0,29.759835,407.133636,0.927603,1,132,15,569,0,0,0
"234",356,0.0823,0.030447,2.496623,0.061807,0.979607,0.514234,10.103992,64.478109,0.032061,1,0,0,0,0,49.758532,66.833378,5.834722,1,170,8,178,0,0,0
"235",287,0.349843,0.014545,0.002295,0.054629,0.928669,0.544592,10.87187,73.346438,0.242576,1,0,0,0,0,15.79981,568.914489,4.771213,1,128,6,153,0,0,0
"236",518,0.156993,0.020306,10.793092,0.068019,0.966701,0.806024,10.52474,69.873225,0.231117,1,0,0,0,0,8.080164,23.273625,4.249982,1,99,11,408,0,0,0
"237",856,0.186092,0.032376,5.430663,0.064221,1.086824,0.885315,9.438819,70.104313,0.052826,1,0,0,0,0,48.28605,227.013496,2.730615,1,97,18,741,0,0,0
"238",67,0.102517,0.017278,5.98374,0.073196,1.017124,0.793892,11.056852,73.857778,0.170735,1,0,0,0,0,43.07114,340.202406,0.567154,1,14,2,51,0,0,0
"239",202,0.294514,0.02845,0.134265,0.073266,1.026729,0.223833,9.912715,67.382133,0.249124,1,0,0,0,0,40.825037,377.369014,2.765187,1,153,5,44,0,0,0
"240",201,0.892637,0.027482,7.513493,0.005708,1.038976,0.007619,9.334466,66.852056,0.215556,1,0,0,0,0,39.324531,445.749409,0.215286,1,195,5,1,0,0,0
"241",375,0.913502,0.01772,16.118146,0.057991,1.058598,0.05108,10.94979,65.991587,0.179012,1,0,0,0,0,20.094177,40.041077,2.318256,1,349,8,18,0,0,0
"242",466,0.21273,0.029307,4.395924,0.07175,1.070649,0.345575,9.577563,64.736688,0.237123,1,0,0,0,0,37.264221,388.851861,2.804234,1,299,10,157,0,0,0
"243",208,0.490389,0.022396,1.731162,0.075102,1.095154,0.336749,10.41069,73.238156,0.097601,1,0,0,0,0,9.457797,541.969766,1.694166,1,135,5,68,0,0,0
"244",368,0.858314,0.03196,11.967065,0.081708,1.062942,0.176451,10.189277,62.342077,0.230833,1,0,0,0,0,48.20266,141.099776,3.190929,1,297,8,63,0,0,0
"245",490,0.165514,0.007677,9.4681,0.027315,1.024465,0.160752,9.767276,72.010872,0.087239,1,0,0,0,0,18.507007,365.723387,0.911294,1,403,10,77,0,0,0
"246",100,0.034353,0.01373,0.109521,0.075323,1.069717,0.308996,10.734247,62.575709,0.193162,1,0,0,0,0,34.791713,467.074506,5.30924,1,68,2,30,0,0,0
"247",708,0.52534,0.034314,3.701509,0.029284,1.04383,0.526752,10.076236,69.798011,0.000952,1,0,0,0,0,26.3737,256.549882,5.234397,1,328,15,365,0,0,0
"248",673,0.272426,0.025114,2.598735,0.032295,1.043087,0.202181,9.644603,65.14715,0.226887,1,0,0,0,0,18.48679,209.279346,5.379365,1,526,14,133,0,0,0
"249",426,0.363347,0.014638,9.576907,0.018024,1.04226,0.638566,11.288029,63.342961,0.026014,1,0,0,0,0,0.706006,517.667086,5.323196,1,151,9,266,0,0,0
"250",251,0.376147,0.034494,3.113666,0.078514,0.94106,0.369088,10.954664,66.892137,0.118132,1,0,0,0,0,47.323201,157.772243,5.440064,1,155,6,90,0,0,0
"251",352,0.004953,0.025081,11.29985,0.071264,0.99523,0.127957,10.784973,67.995076,0.016071,1,0,0,0,0,40.767621,100.47476,3.918306,1,300,8,44,0,0,0
"252",337,0.540962,0.02688,19.149009,0.073947,1.069533,0.866211,10.486479,72.391166,0.230565,1,0,0,0,0,8.870926,186.688508,1.736679,1,45,7,285,0,0,0
"253",553,0.38853,0.033767,18.462081,0.011422,1.08735,0.500122,10.300807,70.685523,0.201047,1,0,0,0,0,5.085253,26.756725,0.098221,1,271,12,270,0,0,0
"254",87,0.285384,0.031139,16.982695,0.039213,0.993141,0.733913,10.718353,62.154567,0.003869,1,0,0,0,0,34.389641,44.165808,0.493338,1,23,2,62,0,0,0
"255",195,0.241532,0.035189,8.848442,0.071603,1.01777,0.44501,10.996372,68.537537,0.016405,1,0,0,0,0,31.423333,556.967842,5.771027,1,107,4,84,0,0,0
"256",491,0.198076,0.030971,6.366064,0.022768,1.080462,0.571391,10.309387,72.194951,0.159521,1,0,0,0,0,1.59489,585.996017,1.75617,1,207,10,274,0,0,0
"257",444,0.953202,0.033749,14.886786,0.036134,1.063528,0.510128,10.892156,72.187141,0.190819,1,0,0,0,0,43.779306,137.574129,4.672064,1,214,9,221,0,0,0
"258",627,0.225483,0.002999,13.640223,0.058892,0.939537,0.515809,9.623845,73.424219,0.027158,1,0,0,0,0,16.651592,464.779774,4.233547,1,298,13,316,0,0,0
"259",354,0.057971,0.030365,18.961545,0.067029,0.927025,0.125575,10.057254,72.777161,0.234339,1,0,0,0,0,36.268686,329.775865,5.67007,1,303,8,43,0,0,0
"260",710,0.366759,0.021296,8.963823,0.023914,0.992609,0.645139,10.307458,67.46524,0.122512,1,0,0,0,0,2.139324,31.349198,3.931551,1,247,15,448,0,0,0
"261",376,0.026608,0.037765,12.901786,0.030246,0.991274,0.164138,10.929377,72.586682,0.20852,1,0,0,0,0,15.689687,36.030182,2.643361,1,308,8,60,0,0,0
"262",210,0.468363,0.038164,1.896927,0.079737,1.040612,0.042087,10.521176,72.646265,0.041776,1,0,0,0,0,11.24803,561.266266,3.309251,1,197,5,8,0,0,0
"263",530,0.019914,0.037984,11.058618,0.046455,0.927486,0.705955,9.46051,63.903347,0.183344,1,0,0,0,0,19.588164,56.144355,5.029147,1,153,11,366,0,0,0
"264",118,0.82776,0.036477,1.303727,0.062089,1.042516,0.225102,10.422663,62.362744,0.228051,1,0,0,0,0,32.991104,505.975899,2.211934,1,90,3,25,0,0,0
"265",956,0.945143,0.003673,3.807377,0.01934,0.931069,0.000976,9.824789,66.120276,0.105615,1,0,0,0,0,1.642421,206.003613,0.220694,1,936,20,0,0,0,0
"266",733,0.216202,0.040615,13.163835,0.032148,1.005132,0.797147,9.657455,65.084376,0.15446,1,0,0,0,0,11.180689,155.245553,5.284595,1,146,15,572,0,0,0
"267",99,0.040203,0.040766,15.694759,0.075391,1.037881,0.829589,9.38995,70.772191,0.248868,1,0,0,0,0,40.013203,270.768838,3.647258,1,17,2,80,0,0,0
"268",832,0.556158,0.031773,3.741541,0.033915,1.007976,0.465198,10.707653,65.113993,0.205741,1,0,0,0,0,49.741049,542.875017,3.52516,1,436,17,379,0,0,0
"269",578,0.248655,0.041649,8.219377,0.026275,1.04323,0.516816,9.502796,61.467146,0.047769,1,0,0,0,0,1.829443,113.137269,1.890202,1,274,12,292,0,0,0
"270",489,0.200811,0.017417,5.22031,0.058342,1.056551,0.85309,11.201048,67.869047,0.146241,1,0,0,0,0,22.185096,451.878391,3.770031,1,71,10,408,0,0,0
"271",173,0.452892,0.04035,2.184324,0.082198,0.986649,0.002133,10.205674,70.271347,0.125835,1,0,0,0,0,21.797175,541.456031,3.453296,1,169,4,0,0,0,0
"272",389,0.014273,0.039288,17.343407,0.018824,1.02655,0.721251,10.187372,71.239747,0.102944,1,0,0,0,0,28.166004,134.947988,1.513961,1,107,8,274,0,0,0
"273",100,0.380899,0.019854,13.045229,0.048604,1.099507,0.841859,11.285763,66.644768,0.155696,1,0,0,0,0,21.892923,333.046541,1.758694,1,16,2,82,0,0,0
"274",350,0.911145,0.034139,13.449401,0.04342,1.055493,0.057012,10.224418,67.614024,0.123941,1,0,0,0,0,43.21638,342.256562,3.215966,1,324,7,19,0,0,0
"275",400,0.665606,0.023466,17.851328,0.05446,1.073116,0.086304,11.174583,64.132073,0.036525,1,0,0,0,0,9.585741,526.292312,3.561276,1,359,8,33,0,0,0
"276",72,0.021877,0.040309,3.729184,0.065991,1.031822,0.361391,9.588577,74.592347,0.066394,1,0,0,0,0,28.342827,407.690012,5.102937,1,45,2,25,0,0,0
"277",171,0.1625,0.030199,16.645371,0.070681,1.083368,0.681145,11.176834,74.772733,0.082019,1,0,0,0,0,46.448343,481.656745,3.915467,1,54,4,113,0,0,0
"278",483,0.370941,0.032025,17.462539,0.015551,1.065578,0.280288,11.297707,61.426699,0.049215,1,0,0,0,0,2.639208,260.513208,1.688769,1,341,10,132,0,0,0
"279",329,0.044109,0.013112,2.327443,0.021882,1.012253,0.320353,10.648645,68.624343,0.23848,1,0,0,0,0,6.689236,96.324837,0.66467,1,219,7,103,0,0,0
"280",259,0.826304,0.020879,16.691419,0.030634,1.047552,0.204558,9.61911,62.66223,0.168247,1,0,0,0,0,48.982322,512.597383,0.554963,1,202,6,51,0,0,0
"281",125,0.464464,0.018395,19.305451,0.059894,1.090152,0.498122,10.917253,74.734956,0.023607,1,0,0,0,0,29.983181,116.053512,5.260652,1,62,3,60,0,0,0
"282",496,0.74685,0.040495,13.545917,0.070474,1.054563,0.518451,10.362633,74.225239,0.217155,1,0,0,0,0,44.595294,227.66109,5.826725,1,235,10,251,0,0,0
"283",387,0.171142,0.0167,14.136925,0.03842,1.080797,0.037089,9.581683,71.896026,0.002799,1,0,0,0,0,46.307092,44.412889,3.295173,1,365,8,14,0,0,0
"284",961,0.11149,0.012684,19.83741,0.059655,0.934973,0.858938,9.424028,74.0047,0.035278,1,0,0,0,0,37.421453,9.933416,3.422562,1,133,20,808,0,0,0
"285",900,0.905593,0.023397,17.252442,0.026749,1.042034,0.213037,10.86309,62.487155,0.032708,1,0,0,0,0,0.446575,583.551382,4.62668,1,695,18,187,0,0,0
"286",576,0.811326,0.027651,15.273499,0.002681,1.034432,0.371612,10.112858,62.960014,0.046269,1,0,0,0,0,29.559878,586.626653,4.641479,1,355,12,209,0,0,0
"287",121,0.523024,0.004893,18.82455,0.000638,1.040848,0.355253,9.614002,61.222113,0.208066,1,0,0,0,0,30.339436,388.078392,0.524143,1,77,3,41,0,0,0
"288",65,0.088407,0.030004,9.87837,0.054904,1.044004,0.999168,9.547846,73.677666,0.162778,1,0,0,0,0,45.454237,385.724025,3.050353,1,1,2,62,0,0,0
"289",313,0.090198,0.019277,14.924124,0.076292,1.072368,0.795835,10.593438,70.576452,0.191216,1,0,0,0,0,9.033735,251.657917,4.011672,1,63,7,243,0,0,0
"290",177,0.655484,0.030511,19.040102,0.071217,1.076209,0.847823,9.378568,66.330158,0.086245,1,0,0,0,0,30.644328,275.237321,2.100433,1,27,4,146,0,0,0
"291",764,0.589413,0.01016,11.387351,0.043863,1.011992,0.822229,9.957106,61.789665,0.06815,1,0,0,0,0,47.216286,352.481738,3.444742,1,133,16,615,0,0,0
"292",429,0.957656,0.029202,15.939116,0.021631,0.905553,0.689896,9.340892,63.399966,0.157037,1,0,0,0,0,23.531329,8.635782,0.982888,1,131,9,289,0,0,0
"293",110,0.154775,0.026001,5.874973,0.05916,1.073949,0.106539,10.558704,65.687941,0.082878,1,0,0,0,0,22.533941,295.464233,5.939371,1,96,3,11,0,0,0
"294",231,0.303131,0.032235,6.753725,0.034448,1.095368,0.483625,9.882139,65.413981,0.18128,1,0,0,0,0,41.618464,47.279114,0.286239,1,117,5,109,0,0,0
"295",281,0.038193,0.017519,2.748517,0.046701,0.964901,0.844664,9.409629,72.038635,0.09049,1,0,0,0,0,22.468953,89.745645,4.783066,1,43,6,232,0,0,0
"296",196,0.141499,0.027944,9.816572,0.072025,1.069099,0.13085,11.154979,61.636017,0.194409,1,0,0,0,0,40.369453,398.224865,5.971576,1,167,4,25,0,0,0
"297",348,0.978236,0.027881,18.806024,0.013671,1.044891,0.523187,11.279023,74.669708,0.001878,1,0,0,0,0,25.458542,76.937279,2.481594,1,163,7,178,0,0,0
"298",79,0.377458,0.016234,13.633166,0.076916,1.071748,0.52425,10.38487,68.157434,0.043269,1,0,0,0,0,45.757215,404.354728,5.977218,1,37,2,40,0,0,0
"299",180,0.2674,0.010422,18.898282,0.066614,1.052197,0.333715,10.840006,71.257509,0.030727,1,0,0,0,0,39.43642,261.240944,3.557371,1,118,4,58,0,0,0
"300",782,0.700573,0.022575,11.454057,0.050439,1.074285,0.183093,11.244977,66.075259,0.065312,1,0,0,0,0,2.79244,355.745968,3.567809,1,626,16,140,0,0,0
"301",392,0.653727,0.034996,14.356189,0.068156,1.016445,0.073498,11.153605,67.296038,0.139189,1,0,0,0,0,27.353404,50.007554,1.398552,1,356,8,28,0,0,0
"302",105,0.338362,0.02949,3.963333,0.069255,1.024997,0.233461,9.592661,74.110778,0.162469,1,0,0,0,0,38.802479,434.338853,5.654208,1,79,3,23,0,0,0
"303",343,0.830428,0.029342,11.170772,0.031318,1.097629,0.551173,9.374317,71.43216,0.034967,1,0,0,0,0,33.644221,11.567705,1.279236,1,151,7,185,0,0,0
"304",320,0.28308,0.024026,8.359413,0.078266,0.985501,0.466787,10.768907,69.560271,0.054299,1,0,0,0,0,22.831896,556.118754,2.257422,1,167,7,146,0,0,0
"305",809,0.058949,0.040077,15.492187,0.019616,0.910865,0.838041,10.007133,70.002687,0.045242,1,0,0,0,0,6.297709,387.223909,3.969643,1,129,17,663,0,0,0
"306",745,0.415443,0.035972,0.372611,0.011033,0.904722,0.73745,9.673121,64.234619,0.057676,1,0,0,0,0,14.048274,244.700812,0.067598,1,192,15,538,0,0,0
"307",79,0.069464,0.028887,4.02277,0.071991,0.995036,0.014813,10.927457,73.218719,0.16378,1,0,0,0,0,42.393524,356.671565,4.471453,1,76,2,1,0,0,0
"308",540,0.467888,0.03368,19.918066,0.030583,1.057692,0.938039,10.394962,71.361705,0.018759,1,0,0,0,0,38.744772,79.906765,2.684263,1,33,11,496,0,0,0
"309",469,0.138919,0.015972,11.923081,0.062066,1.043596,0.395719,9.283687,74.072456,0.065086,1,0,0,0,0,44.542191,381.810288,2.860099,1,278,10,181,0,0,0
"310",926,0.70174,0.038075,8.147801,0.038357,0.929312,0.530259,10.906595,63.523763,0.048498,1,0,0,0,0,29.478285,400.842374,0.87421,1,427,19,480,0,0,0
"311",598,0.882748,0.001267,1.800498,0.022038,1.023116,0.364409,10.406588,67.322323,0.014011,1,0,0,0,0,22.114262,326.167599,0.694135,1,373,12,213,0,0,0
"312",601,0.151225,0.030606,6.897632,0.074516,0.945321,0.039055,10.435133,71.146082,0.176806,1,0,0,0,0,24.800996,35.027158,5.042896,1,566,13,22,0,0,0
"313",78,0.63551,0.027844,4.622342,0.075919,0.967037,0.285303,11.010062,68.016351,0.099097,1,0,0,0,0,49.942079,288.899606,5.179871,1,55,2,21,0,0,0
